DRAFT - Annual Report data for 2011/12.,,,,Usage,,,,,,,,,,,,,,,,,,,,,,,,,Additional Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,Yearly Total,Apr-11,May-11,Jun-11,Jul-11,Aug-11,Sep-11,Oct-11,Nov-11,Dec-11,Jan-12,Feb-12,Mar-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DWP,www.ppfo.org.uk ,Pension Protection Fund Ombudsman,427,475,491,544,521,513,561,592,533,577,687,756,6677,1363,1540,1287,1339,1509,1579,1406,1834,1677,1963,1752,2001,Impossible to split out the cost between PO and PPFO. For the same reason only ran the website survey on PO site.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.sba.mod.uk,Sovereign Base Areas,1220,1487,1294,1763,1484,1602,1545,1364,1140,1607,1489,1491,17486,1535,1740,1599,2128,1926,2034,1892,1725,1392,2028,1930,1954,CSS Level 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,CO,www.beta.gov.uk,beta.gov,,,,,,,,,,,18740,1390,20130,,,,,,,,,,,23158,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,AG,www.hmcpsi.gov.uk,Her MajestyÕs Crown Prosecution Service Inspectorate,483,582,576,667,745,634,677,766,577,865,979,1230,8781,733,900,1019,1115,1132,909,921,1011,793,1143,1254,1798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.cac.gov.uk,Central Arbitration Committee,876,1210,1096,936,876,965,1211,1349,960,1227,1239,1317,13262,1366,1666,1502,1282,1201,1269,1520,1936,1554,1845,1707,1746,"The website has been heavily revised, and unfortunately in the short time it has been up we have not been able to draw any responses from our survey.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKTI,www.creative-industries.co.uk,UK Creative Industries,919,774,664,667,653,944,1014,704,799,1063,1055,1326,10582,1149,944,827,912,942,1171,1342,914,1057,1357,1360,1692,Site will be handed over to private sector (Institute of Advertising Practitioners) on 30 June 2012. Sector messages with facts and figures have been uploaded onto the UKTI website creative pages.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKSA,www.onspeoplecount.co.uk,UK Statistics Authority,,,,,,7249,863,3586,1055,8001,1527,998,23279,,,,,,9436,1064,5251,1306,10619,7881,1527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.armedforcescomplaints.independent.gov.uk,Service Complaints CommissionerÊ,940,812,671,619,641,671,660,662,496,767,758,997,8694,1200,1094,941,842,797,880,872,835,644,995,974,1351,"AIS Branch agreed in Sep 2011 that the SCC website could ""piggy back"" onto the Joint Server Farm (JSF) contract with Rack Space but still maintain independence as it needs to do for the nature of SCC business. The SCC website sits behind the forces gateway and is managed and currently updated by AIS (POC is SSST Andy Paddock on 01264 381119). It has not been possible to arrange for an Annual User survey due to the transition between platforms during this reporting period and the lack of direct IT permissions/SCC staff resource to maintain the website. This will be addressed during the next reporting period. SCC site is also W3C compliant.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DH,www.hgc.gov.uk,human genetics,3511,2061,1777,1523,2071,1782,2214,2243,1607,1810,1455,1074,23128,4136,2475,1985,1839,2438,1997,2706,2544,1765,2037,1741,1316,"The Human Genetics Commission website and its content will be archived by The National Archives and, the Wellcome Trust before the website closure in June/July 2012.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,CO,www.mutuals.cabinetoffice.gov.uk,Mutuals,,,,,,,,,732,816,1260,734,3542,,,,,,,,,974,1300,1659,1224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKTI,www.technologyworld.uk.com,Technology World,,,,925,2465,3956,6025,8403,1267,1377,958,969,26345,,,,1260,3448,5899,10077,15718,1605,1649,1086,1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKTI,www.identity.ukti.gov.uk,UK Trade & Investment (UKTI),274,312,318,265,323,449,348,348,413,384,418,403,4255,600,634,693,575,672,987,786,720,805,963,1053,1018,"This is not a public facing website.  It's for UKTI staff and its suppliers t o access UKTI branding guidelines, templates, its image library and best practice examples.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,OFQUAL,www.theeab.org.uk,The Examinations Appeals Board,329,408,368,264,846,823,440,384,273,392,338,579,5444,512,553,530,490,1052,1023,565,473,365,440,417,905,Hosting and website support provided by parent department at no cost to The EAB. Staff support is nominally less than 0.01 FTE so not reported. Survey response too low to include.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,UKTI,www.businessinasia.co.uk,Business Asia,1230,1370,434,388,382,390,378,687,3132,8555,3472,588,21006,1962,1975,682,586,566,557,575,985,3956,11066,4623,717,WCAG A and WCAG AA (automated tsting) - no due to missing alt tags on images and a non-defined link 'click here' on About page. WCAG Manual - performed manual check but results the same as automated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOJ,www.ppo.gov.uk,The Prisons and Probation Ombudsman,96,105,90,78,78,83,104,88,100,105,103,94,1124,106,126,103,87,90,84,110,99,117,115,117,104,"PPO has no dedicated website staff. All costs are borne by MoJ, but these are part of a wider ICT contract and web costs cannot be idenitfied separately.  Service availability not available. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.raf.mod.uk,Media and Comms - HQ Air Cmd,334163,337860,317038,294519,378065,0,0,0,0,0,0,0,1661645,5714689,8043617,7587820,7105299,8600711,0,0,0,0,0,0,0,"Website stats are provided up to the end of Aug 11, when Web Trends became unavailable as a shared tool. ComScore has now been purchased and is expected to be fully functional by the end of May 2012. The delay in procuring a new stats package was due to t",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.bfgnet.de,Ministry of Defence,35686,43880,43579,44051,38727,43676,43566,45588,29600,47302,41190,44388,501233,,,,,,,,,,,,,"Whilst the site is technically out of compliance on a few issues, this has been addressed by the HQ.  To this end, it is intended to undertake a re-build of the site from Ôthe ground upÕ.  The initial phase of this project was to engage T-Systems GmbH to run a bespoke workshop for the key stakeholders to enable the user requirements to be established.  It is envisaged that this stage will be completed in May/Jun 12.As part of the HQ BFG IOC, the running of BFGnet was passed over to G3 IM; however due to critical staffing gaps, the management of the site is being undertaken on a best endeavours basis by SMEs ÔborrowedÕ from other branches.  Whilst this is not an ideal management technique, this interim measure keeps the site working in its current state until the new version, BFGnet 2.0, can be rolled out.  Due to the unique nature of service in BFG, the website fulfils many of the mandated functions that would normally be provided by local authorities, various welfare agencies, regulatory departments, HMRC etc.  This additional functionality requires that this service must remain online whilst these issues are remediated.  This vital tool will, once properly resourced, be brought back closer to full compliance with W3 targets.All costs are based on FFR rate that that was in place at the end of the financial year and have not taken into account any exchange rate fluctuations over the period.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DfT,www.aaib.gov.uk,UK Air Accidents Investigation Branch,22254,23882,21355,26024,22097,22706,23308,24400,24084,23748,24955,24023,282836,,,,,,,,,,,,,Visits data was not available due to recent issues with the AAIB GA account. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.thedataservice.org.uk/,The data service,5100,5903,6399,6676,6760,7095,7617,7778,5237,6447,6855,,71867,25095,29632,34277,32901,38762,41852,39709,44536,29171,35212,35402,,"Note, the quality questions refer to the survey run from April 11 - April 12, which obtained 113 reponses only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,DECC,www.offshore-sea.org.uk,Offshore Sea,2627,3091,2722,2446,2561,2365,2924,3093,2832,2997,2905,2921,33484,,,,,,,,,,,,,Site is largely up to AA level. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,MOD,www.dasa.mod.uk,Defence Analytical Services and Advice,2210,2834,2759,2441,2399,3025,3016,4330,2080,3357,2965,,31416,3158,4133,3907,3681,3473,4274,4268,5889,2966,4718,4347,,"Since  2 March 2012 The DASA web site has been down for technical and security reasons. We have not been able to extract the metrics for March 2012 but they are likely to be lower than for other months. Further information about the incident is available by emailing DASA-WDS-Hd@mod.uk.The availability of 97.8% includes a three week period when the site was replaced by an interim site with limited functionality. Availability of the full site was 91.3%.Hosting costs represent actuals only (no allowance for contingency).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.cflabs.org.uk/,CF Labs,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.graduatetalentpool.bis.gov.uk/,Graduate Talent Pool (BIS),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.ktponline.org.uk/,Knowledge Transfer Partnerships,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.landregistry.gov.uk/,Land Registry (www version),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.lowpay.gov.uk/,Lowpay Commision,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.mas.bis.gov.uk/,Manufacturing Advisory Service (BIS),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.ome.uk.com/,Office of Manpower Economics / NHS Pay Review Body,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.ordnancesurvey.co.uk/oswebsite/,Ordnance Survey,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.recalledproducts.org/,Recalled Products,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.studentloanrepayment.co.uk/,Student Loan Repayment,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.theukrc.org/,The UKRC,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Received,BIS,www.ukces.org.uk/,UK Commission for Employment and Skills,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,BIS,www.wavehub.co.uk/,Wave Hub,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.5daysinaugust.co.uk/,5 Days in August - An interim report on the 2011 English riots,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.data4nr.net/introduction/,Data for Neighbourhoods and Regeneration,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.communities.gov.uk/corporate/,Department for Communities and Local Government,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.fireservicecollege.ac.uk/fschome.aspx,Fire Service College,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.housing-ombudsman.org.uk/,Housing Ombudsman Service,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.info4local.gov.uk/,Information for Local Government from Central Government ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.local.communities.gov.uk/,Local Government Finance Information for Local Authorities,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.ltgdc.org.uk/,London Thames Gateway Development Corporation,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.miltonkeynespartnership.info/,Milton Keynes Partnership,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.planningportal.gov.uk/,Planning Portal,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.wndc.org.uk/,West Northamptonshire Development Corporation,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCLG,www.wndc.co.uk/,West Northants Development Corporation,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,CO,www.biglotteryfund.org.uk/,Big Lottery Fund,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,CO,www.civilservice.gov.uk/,Civil Service,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,CO,www.civilserviceappealboard.gov.uk/,Civil Service Appeal Board,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,CO,www.public-standards.org.uk/,Committee on Standards in Public Life,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,CO,www.hmgcc.gov.uk/default.aspx,HMGCC - Her Majesty's Government Communications Centre,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,CO,www.independent.gov.uk/,Independent .gov,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,CO,www.socialenterpriseambassadors.org.uk/,Social Enterprise Ambassadors ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,CO,www.carboncalculator.direct.gov.uk/index.html,The Carbon Calculator,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.activeplaces.com/,Active Places,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.bl.uk/,British Library,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.britishmuseum.org/,British Museum,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.visitchurches.org.uk/,Churches Conservation Trust,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.culturalpropertyadvice.gov.uk/,Cultural Property Advice,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.digitaltelevision.gov.uk/,Digital Television,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.english-heritage.org.uk/,English Heritage (The Historic Buildings and Monuments Commission for England),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.gamblingcommission.gov.uk/,Gambling Commission,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.geffrye-museum.org.uk/,Geffrye Museum,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.hlf.org.uk/Pages/Home.aspx,Heritage Lottery Fund,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.horniman.ac.uk/,Horniman Public Museum and Public Park Trust,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.hblb.org.uk/,Horserace Betting Levy Board,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.iwm.org.uk/,Imperial War Museum,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.inspiringlearning.gov.uk/,Inspiring Learning for All,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.mosi.org.uk/,Museum of Science and Industry (MOSI),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.nationalgallery.org.uk/,National Gallery,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.nationalhistoricships.org.uk/index.php,National Historic Ships,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.natlotcomm.gov.uk/,National Lottery Commission,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.liverpoolmuseums.org.uk/,National Museums Liverpool,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.npg.org.uk/,National Portrait Gallery,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.nhm.ac.uk/,Natural History Museum,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.olympiclotterydistributor.org.uk/docs/home.php,Olympic Lottery Distributor,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.peoplesnetwork.gov.uk/,People's Network (LIC),,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.royalarmouries.org/home,Royal Armouries Museum,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.rmg.co.uk/,Royal Museums Greenwich,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.royalparks.org.uk/,Royal Parks,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.soane.org/,Sir John Soane's Museum,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.tate.org.uk/,Tate,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.safetyatsportsgrounds.org.uk/,The Sports Grounds Safety Authority,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.tatemovie.co.uk/,The Tate Movie Project,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.theatrestrust.org.uk/,Theatres Trust,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.ukfilmcouncil.org.uk/,UK Film Council,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.vam.ac.uk/,Victoria and Albert Museum,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DCMS,www.wallacecollection.org/,Wallace Collection ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DECC,www.eca.gov.uk/,Enhanced Capital Allowance Scheme,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DECC,www.ghgi.decc.gov.uk,UK Greenhouse Gas Inventory National System,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.agwasteplastics.org.uk/,Agricultural Waste Plastics,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.ahdb.org.uk,Agriculture and Horticulture Development Board ,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,"www.biomassenergycentre.org.uk/portal/page?_pageid=73,1&_dad=portal&_schema=PORTAL",Bio Mass Energy Centre,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Not Received,DEFRA,www.biodiversitysouthwest.org.uk/,Biodiversity South West,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
